Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Bola16	Bola17	Bola18	Bola19	Bola20
J1994	2	3	4	7	16	21	26	34	37	42	44	50	60	71	85	86	88	90	92	95
J1995	7	11	16	28	34	38	44	65	72	73	75	79	80	81	82	91	94	95	98	99
J1996	1	11	15	23	28	30	31	40	43	44	51	57	66	68	86	90	93	94	96	99
J1997	5	6	9	16	17	22	30	31	36	43	50	55	58	61	68	69	72	80	81	92
J1998	3	4	10	16	21	24	29	31	38	39	42	62	64	68	74	76	81	90	91	98
J1999	12	15	18	20	26	33	35	39	45	47	54	61	63	64	66	76	77	84	85	91
J2000	5	17	20	22	25	28	33	38	39	61	62	65	66	70	73	74	83	87	93	98
J2001	1	3	11	17	19	29	31	35	49	50	53	57	63	79	83	87	89	91	95	99
J2002	8	31	32	43	53	54	56	57	65	69	76	79	80	82	87	88	91	97	98	99
J2003	5	7	16	17	24	25	26	33	36	47	50	53	78	79	81	85	86	87	91	99
J2004	14	21	23	28	32	35	37	40	47	48	51	63	69	72	74	84	86	88	91	99
J2005	1	9	11	26	30	35	40	42	55	60	63	64	69	71	72	76	83	91	92	96
J2006	5	6	8	14	15	16	24	25	26	35	37	44	54	63	64	69	72	74	90	97
J2007	0	3	9	10	21	24	33	38	53	60	61	65	77	78	80	81	83	84	95	98
J2008	1	11	14	16	18	26	28	29	32	35	41	42	43	45	52	70	78	84	88	96
J2009	4	7	10	15	20	21	23	26	33	34	39	40	43	53	66	69	75	79	82	91
J2010	0	5	8	10	20	22	27	33	39	43	48	53	62	68	69	74	79	84	93	98
J2011	4	17	20	21	28	29	36	38	46	47	49	55	57	59	62	73	79	80	83	91
J2012	1	10	12	17	23	28	35	37	40	42	43	50	53	54	66	68	84	92	97	99
J2013	1	5	6	10	31	33	35	40	44	54	55	58	64	68	74	75	81	87	88	92
J2014	3	9	13	23	29	32	34	40	58	61	63	66	70	72	74	76	77	80	81	99
J2015	11	24	26	27	28	32	35	37	42	45	48	52	54	64	65	76	90	92	96	97
J2016	0	2	11	19	25	28	30	37	38	45	56	58	61	74	77	82	85	86	88	99
J2017	11	23	24	41	43	44	48	56	61	63	65	72	77	80	82	85	86	87	88	93
J2018	8	9	11	13	19	31	38	42	45	46	47	49	55	61	68	69	81	82	88	93
J2019	4	7	10	11	22	33	50	56	57	58	65	66	67	68	76	83	84	87	88	95
J2020	2	16	17	20	24	26	33	34	45	47	52	53	57	59	63	75	90	91	92	99
J2021	3	8	9	12	13	18	19	24	41	44	45	47	54	59	65	67	73	75	80	87
J2022	2	7	17	27	29	42	57	58	59	62	69	71	72	75	89	90	92	95	97	99
J2023	0	10	11	25	27	29	32	48	49	50	53	54	59	60	63	67	70	75	80	84
J2024	0	2	8	19	31	33	38	39	42	43	44	54	61	64	72	73	75	78	81	89
J2025	9	12	27	29	31	35	36	37	39	51	55	62	70	75	76	83	84	91	92	94
J2026	1	7	8	16	17	21	22	27	36	37	44	56	63	66	68	79	85	88	93	94
J2027	12	15	22	24	27	28	30	31	33	37	49	59	65	69	70	76	86	87	95	99
J2028	0	12	15	21	24	27	29	30	33	35	46	49	57	68	71	77	80	86	89	99
J2029	3	12	21	29	35	37	48	51	56	59	60	61	64	74	81	84	86	90	95	99
J2030	15	16	19	21	24	25	33	39	41	47	59	60	62	63	69	70	71	83	90	91
J2031	9	11	19	23	32	35	38	42	50	52	66	69	71	73	77	78	80	81	91	96
J2032	0	1	2	4	6	8	10	11	14	46	49	50	57	63	70	73	85	87	93	95
J2033	6	8	10	20	21	23	31	34	35	37	40	48	56	75	80	81	86	90	98	99
J2034	1	2	4	9	11	12	17	19	27	28	32	34	42	48	52	53	54	58	66	99
J2035	5	7	8	10	17	29	32	35	42	54	56	67	68	70	80	84	85	90	98	99
J2036	1	5	10	21	22	24	32	39	41	42	49	51	63	69	70	72	81	89	91	96
J2037	4	8	10	23	29	30	39	41	50	56	64	65	71	73	80	81	84	88	95	99
J2038	2	6	10	14	15	20	25	27	28	42	46	57	61	62	70	72	74	84	90	93
J2039	1	2	3	6	9	19	22	34	39	45	47	49	68	69	81	83	85	93	98	99
J2040	0	14	23	27	32	33	34	39	49	51	57	61	67	77	79	81	86	93	97	99
J2041	11	20	31	41	44	55	60	61	64	68	69	70	74	81	83	84	85	86	90	94
J2042	4	8	9	12	17	19	21	29	40	43	57	67	73	74	80	89	93	94	96	97
J2043	8	12	17	18	31	41	44	54	74	80	82	83	84	85	87	88	90	93	95	98
J2044	7	13	18	22	23	27	30	45	48	49	50	58	60	61	73	75	76	79	82	92
J2045	2	6	8	9	11	14	29	42	46	47	60	65	71	75	76	81	82	88	90	99
J2046	5	12	14	15	17	25	27	38	44	50	51	53	65	68	71	74	78	81	87	89
J2047	5	10	11	19	20	23	25	29	34	40	42	44	51	62	65	67	84	88	93	97
J2048	4	11	12	15	16	26	32	42	43	45	46	55	56	65	67	69	75	76	79	84
J2049	0	1	3	4	7	10	13	16	26	30	31	33	51	59	70	73	76	82	90	92
J2050	0	1	4	6	17	23	24	33	35	46	50	55	59	70	77	79	86	88	90	98
J2051	4	8	9	17	19	21	24	30	34	36	58	60	61	63	66	77	82	85	90	98
J2052	0	7	8	10	14	20	26	33	37	40	41	42	49	51	53	62	69	75	76	97
J2053	0	3	5	7	8	13	16	18	20	24	30	36	59	60	61	62	72	75	91	94
J2054	3	6	9	16	18	21	26	30	35	44	56	57	62	63	65	71	79	82	90	95
J2055	5	9	13	20	23	34	41	49	57	61	65	69	72	76	79	80	84	86	92	98
J2056	2	6	13	14	18	20	25	27	38	54	59	60	61	67	68	76	77	83	86	96
J2057	1	6	24	43	47	50	56	60	68	71	75	76	78	80	82	83	85	89	97	98
J2058	2	4	8	21	24	25	26	27	31	42	45	63	64	68	78	82	86	88	95	97
J2059	9	12	25	26	29	31	35	39	45	46	51	55	58	62	70	72	73	92	96	97
J2060	13	17	33	34	37	38	39	44	50	52	56	57	62	65	66	68	76	79	91	93
J2061	0	6	22	25	31	32	40	41	42	46	55	56	62	68	69	72	83	86	94	98
J2062	7	9	10	15	18	19	21	26	29	35	39	42	48	54	58	66	69	78	88	90
J2063	2	4	5	8	9	13	19	20	21	36	46	61	76	81	87	90	91	92	93	95
J2064	1	2	3	4	5	6	7	11	18	33	37	41	49	56	57	62	67	72	82	99
J2065	1	4	8	11	13	16	19	22	27	31	38	46	47	51	61	66	69	86	90	99
J2066	0	3	5	15	30	31	41	55	56	57	58	64	67	71	73	75	81	83	84	99
J2067	3	14	21	41	51	55	56	63	64	77	79	81	82	84	85	89	90	91	92	96
J2068	0	3	14	21	36	37	44	47	49	50	52	56	58	60	61	68	70	73	88	89
J2069	2	3	4	7	8	11	16	23	25	30	34	43	49	54	64	65	67	68	81	91
J2070	10	12	14	21	30	37	41	42	44	47	48	51	54	58	60	69	76	82	98	99
J2071	0	11	23	24	25	28	29	36	38	41	42	60	74	80	85	86	88	90	95	99
J2072	10	17	18	19	25	26	43	48	49	53	56	69	74	77	80	83	86	87	90	96
J2073	0	5	8	12	14	17	20	24	26	29	30	42	51	59	64	70	71	76	79	92
J2074	4	7	13	16	20	34	45	47	52	54	55	56	58	60	65	72	91	92	95	96
J2075	0	11	12	14	21	25	26	30	35	36	46	53	56	58	60	66	69	78	85	87
J2076	0	3	6	10	16	25	33	34	44	51	52	53	56	67	77	81	83	87	97	99
J2077	11	12	16	17	20	21	22	23	24	25	27	28	39	50	52	62	73	85	92	94
